Korean,pronunciation,English
엄마,eomma,Mom \n(informal)
어머니,eomeoni,Mother \n(formal)
아빠,appa,Dad \n(informal)
아버지,abeoji,Father \n(formal)
누나,nuna,Old sister \nif you are male
언니,eonni,Old sister \nif you are female
형,hyeong,Old brother \nif you are male
오빠,oppa,Old brother \nif you are female
동생,dongsaeng,younger sibling
남동생,namdongsaeng,Younger brother
여동생,yeodongsaeng,Younger sister
형제,hyungjae,brothers
자매,Jamae,sisters
남매,Nammae,brother and sister
남편,Nampyeon,husband
아내,Anae,wife
부부,Bubu,married couple
아들,Adul,Son
딸,tal,Daughter
쌍둥이,sangdungi,Twins
세 쌍둥이,se – sangdungi,Triplets
"며느리, 자부","myanuri, chhabu",Daughter in law
삼촌,samchon,Uncle
이모,imo,Aunt
할아버지,hal-abeoji,Grandfather
할머니,halmeoni,Grandmother
가족,gajog,family